Federal Entity,Municipality,Consecutive,Name,Statistic Types
30,106,1,REGISTRO CIVIL,"013,014,015,016,017"
30,107,1,REGISTRO CIVIL,"013,014,015,016,017"
30,108,1,REGISTRO CIVIL,"013,014,015,016,017"
30,109,1,REGISTRO CIVIL,"013,014,015,016,017"
30,110,1,REGISTRO CIVIL,"013,014,015,016,017"
30,111,1,REGISTRO CIVIL,"013,014,015,016,017"
30,112,1,REGISTRO CIVIL,"013,014,015,016,017"
30,113,1,REGISTRO CIVIL,"013,014,015,016,017"
30,114,1,REGISTRO CIVIL,"013,014,015,016,017"
30,115,1,REGISTRO CIVIL,"013,014,015,016,017"
30,116,1,REGISTRO CIVIL,"013,014,015,016,017"
30,117,1,REGISTRO CIVIL,"013,014,015,016,017"
30,118,1,REGISTRO CIVIL,"013,014,015,016,017"
30,119,1,REGISTRO CIVIL,"013,014,015,016,017"
30,120,1,REGISTRO CIVIL,"013,014,015,016,017"
30,121,1,REGISTRO CIVIL,"013,014,015,016,017"
30,122,1,REGISTRO CIVIL,"013,014,015,016,017"
30,123,1,REGISTRO CIVIL,"013,014,015,016,017"
30,124,1,REGISTRO CIVIL,"013,014,015,016,017"
30,125,1,REGISTRO CIVIL,"013,014,015,016,017"
30,126,1,REGISTRO CIVIL,"013,014,015,016,017"
30,127,1,REGISTRO CIVIL,"013,014,015,016,017"
30,128,1,REGISTRO CIVIL,"013,014,015,016,017"
30,129,1,REGISTRO CIVIL,"013,014,015,016,017"
30,130,1,REGISTRO CIVIL,"013,014,015,016,017"
30,131,1,REGISTRO CIVIL,"013,014,015,016,017"
30,132,1,REGISTRO CIVIL,"013,014,015,016,017"
30,133,1,REGISTRO CIVIL,"013,014,015,016,017"
30,134,1,REGISTRO CIVIL,"013,014,015,016,017"
30,135,1,REGISTRO CIVIL,"013,014,015,016,017"
30,136,1,REGISTRO CIVIL,"013,014,015,016,017"
30,137,1,REGISTRO CIVIL,"013,014,015,016,017"
30,138,1,REGISTRO CIVIL,"013,014,015,016,017"
30,139,1,REGISTRO CIVIL,"013,014,015,016,017"
30,140,1,REGISTRO CIVIL,"013,014,015,016,017"
30,141,1,REGISTRO CIVIL,"013,014,015,016,017"
30,142,1,REGISTRO CIVIL,"013,014,015,016,017"
30,143,1,REGISTRO CIVIL,"013,014,015,016,017"
30,144,1,REGISTRO CIVIL,"013,014,015,016,017"
30,145,1,REGISTRO CIVIL,"013,014,015,016,017"
30,146,1,REGISTRO CIVIL,"013,014,015,016,017"
30,147,1,REGISTRO CIVIL,"013,014,015,016,017"
30,148,1,REGISTRO CIVIL,"013,014,015,016,017"
30,149,1,REGISTRO CIVIL,"013,014,015,016,017"
30,150,1,REGISTRO CIVIL,"013,014,015,016,017"
30,151,1,REGISTRO CIVIL,"013,014,015,016,017"
30,152,1,REGISTRO CIVIL,"013,014,015,016,017"
30,153,1,REGISTRO CIVIL,"013,014,015,016,017"
30,154,1,REGISTRO CIVIL,"013,014,015,016,017"
30,155,1,REGISTRO CIVIL,"013,014,015,016,017"
30,156,1,REGISTRO CIVIL,"013,014,015,016,017"
30,157,1,REGISTRO CIVIL,"013,014,015,016,017"
30,158,1,REGISTRO CIVIL,"013,014,015,016,017"
30,159,1,REGISTRO CIVIL,"013,014,015,016,017"
30,160,1,REGISTRO CIVIL,"013,014,015,016,017"
30,161,1,REGISTRO CIVIL,"013,014,015,016,017"
30,162,1,REGISTRO CIVIL,"013,014,015,016,017"
30,163,1,REGISTRO CIVIL,"013,014,015,016,017"
30,164,1,REGISTRO CIVIL,"013,014,015,016,017"
30,165,1,REGISTRO CIVIL,"013,014,015,016,017"
30,166,1,REGISTRO CIVIL,"013,014,015,016,017"
30,167,1,REGISTRO CIVIL,"013,014,015,016,017"
30,168,1,REGISTRO CIVIL,"013,014,015,016,017"
30,169,1,REGISTRO CIVIL,"013,014,015,016,017"
30,170,1,REGISTRO CIVIL,"013,014,015,016,017"
30,171,1,REGISTRO CIVIL,"013,014,015,016,017"
30,172,1,REGISTRO CIVIL,"013,014,015,016,017"
30,173,1,REGISTRO CIVIL,"013,014,015,016,017"
30,174,1,REGISTRO CIVIL,"013,014,015,016,017"
30,175,1,REGISTRO CIVIL,"013,014,015,016,017"
30,176,1,REGISTRO CIVIL,"013,014,015,016,017"
30,177,1,REGISTRO CIVIL,"013,014,015,016,017"
30,178,1,REGISTRO CIVIL,"013,014,015,016,017"
30,179,1,REGISTRO CIVIL,"013,014,015,016,017"
30,180,1,REGISTRO CIVIL,"013,014,015,016,017"
30,181,1,REGISTRO CIVIL,"013,014,015,016,017"
30,182,1,REGISTRO CIVIL,"013,014,015,016,017"
30,183,1,REGISTRO CIVIL,"013,014,015,016,017"
30,184,1,REGISTRO CIVIL,"013,014,015,016,017"
30,185,1,REGISTRO CIVIL,"013,014,015,016,017"
30,186,1,REGISTRO CIVIL,"013,014,015,016,017"
30,187,1,REGISTRO CIVIL,"013,014,015,016,017"
30,188,1,REGISTRO CIVIL,"013,014,015,016,017"
30,189,1,REGISTRO CIVIL,"013,014,015,016,017"
30,190,1,REGISTRO CIVIL,"013,014,015,016,017"
30,191,1,REGISTRO CIVIL,"013,014,015,016,017"
30,192,1,REGISTRO CIVIL,"013,014,015,016,017"
30,193,1,REGISTRO CIVIL,"013,014,015,016,017"
30,194,1,REGISTRO CIVIL,"013,014,015,016,017"
30,195,1,REGISTRO CIVIL,"013,014,015,016,017"
30,196,1,REGISTRO CIVIL,"013,014,015,016,017"
30,197,1,REGISTRO CIVIL,"013,014,015,016,017"
30,198,1,REGISTRO CIVIL,"013,014,015,016,017"
30,199,1,REGISTRO CIVIL,"013,014,015,016,017"
30,200,1,REGISTRO CIVIL,"013,014,015,016,017"
30,201,1,REGISTRO CIVIL,"013,014,015,016,017"
30,202,1,REGISTRO CIVIL,"013,014,015,016,017"
30,203,1,REGISTRO CIVIL,"013,014,015,016,017"
30,204,1,REGISTRO CIVIL,"013,014,015,016,017"
30,205,1,REGISTRO CIVIL,"013,014,015,016,017"
30,206,1,REGISTRO CIVIL,"013,014,015,016,017"
30,207,1,REGISTRO CIVIL,"013,014,015,016,017"
30,208,1,REGISTRO CIVIL,"013,014,015,016,017"
30,209,1,REGISTRO CIVIL,"013,014,015,016,017"
30,210,1,REGISTRO CIVIL,"013,014,015,016,017"
30,211,1,REGISTRO CIVIL,"013,014,015,016,017"
30,212,1,REGISTRO CIVIL,"013,014,015,016,017"
